date,order_volume,net_profit_margin,weekly_revenue
2026-01-01,105.0,0.344,97604.13
2026-01-02,112.0,0.3582,127108.98
2026-01-03,134.0,0.3292,134417.95
2026-01-04,157.0,0.3084,125002.82
2026-01-05,153.0,0.3168,115173.24
2026-01-06,167.0,0.2861,104773.97
2026-01-07,199.0,0.29,104169.07
2026-01-08,204.0,0.258,134775.45
2026-01-09,206.0,0.254,161342.72
2026-01-10,230.0,0.2589,173282.13
2026-01-11,233.0,0.2539,174162.1
2026-01-12,247.0,0.2379,161343.16
2026-01-13,268.0,0.2247,137059.17
2026-01-14,260.0,0.2125,146158.1
2026-01-15,276.0,0.1904,146718.39
2026-01-16,301.0,0.1876,194292.39
2026-01-17,311.0,0.1799,212100.36
2026-01-18,338.0,0.1847,211266.67
2026-01-19,339.0,0.1672,196805.82
2026-01-20,348.0,0.1358,167707.03
2026-01-21,391.0,0.1463,172393.91
2026-01-22,387.0,0.1289,192251.03
2026-01-23,404.0,0.1156,227631.69
2026-01-24,403.0,0.1182,242879.53
2026-01-25,426.0,0.112,247964.76
2026-01-26,446.0,0.1007,236380.61
2026-01-27,447.0,0.0726,223593.15
2026-01-28,476.0,0.0676,211694.13
2026-01-29,480.0,0.0637,219313.92
2026-01-30,497.0,0.0598,252566.34
